player_id,nba_id,name,first_name,last_name,active,bbref_url
schuldi01,78092,Dick Schulz,Dick,Schulz,False,https://www.basketball-reference.com/players/s/schuldi01.html
schwejo01,78093,John Schweitz,John,Schweitz,False,https://www.basketball-reference.com/players/s/schwejo01.html
scolalu01,2449,Luis Scola,Luis,Scola,False,https://www.basketball-reference.com/players/s/scolalu01.html
scolafr01,78094,Freddie Scolari,Freddie,Scolari,False,https://www.basketball-reference.com/players/s/scolafr01.html
scottal01,78095,Alvin Scott,Alvin,Scott,False,https://www.basketball-reference.com/players/s/scottal01.html
scottbr01,1064,Brent Scott,Brent,Scott,False,https://www.basketball-reference.com/players/s/scottbr01.html
scottby01,2,Byron Scott,Byron,Scott,False,https://www.basketball-reference.com/players/s/scottby01.html
scottch01,78097,Charlie Scott,Charlie,Scott,False,https://www.basketball-reference.com/players/s/scottch01.html
scottde01,192,Dennis Scott,Dennis,Scott,False,https://www.basketball-reference.com/players/s/scottde01.html
scottja01,1109,James Scott,James,Scott,False,https://www.basketball-reference.com/players/s/scottja01.html
scottmi01,203118,Mike Scott,Mike,Scott,False,https://www.basketball-reference.com/players/s/scottmi01.html
scottra01,78100,Ray Scott,Ray,Scott,False,https://www.basketball-reference.com/players/s/scottra01.html
scottsh01,1035,Shawnelle Scott,Shawnelle,Scott,False,https://www.basketball-reference.com/players/s/scottsh01.html
scotttr01,1630286,Trevon Scott,Trevon,Scott,False,https://www.basketball-reference.com/players/s/scotttr01.html
scrubja01,1630206,Jay Scrubb,Jay,Scrubb,False,https://www.basketball-reference.com/players/s/scrubja01.html
scurrca01,78102,Carey Scurry,Carey,Scurry,False,https://www.basketball-reference.com/players/s/scurrca01.html
seabrde01,1631220,Dereon Seabron,Dereon,Seabron,False,https://www.basketball-reference.com/players/s/seabrde01.html
sealsbr01,78103,Bruce Seals,Bruce,Seals,False,https://www.basketball-reference.com/players/s/sealsbr01.html
sealssh01,1578,Shea Seals,Shea,Seals,False,https://www.basketball-reference.com/players/s/sealssh01.html
