age,size_bucket,n_players,mean_delta_pts_per75,std_delta_pts_per75,mean_delta_ast_per75,std_delta_ast_per75,mean_delta_trb_per75,std_delta_trb_per75,mean_delta_stl_per75,std_delta_stl_per75,mean_delta_blk_per75,std_delta_blk_per75,mean_delta_vorp,std_delta_vorp,mean_delta_bpm,std_delta_bpm,mean_delta_ws_per_48,std_delta_ws_per_48,mean_delta_ts_pct,std_delta_ts_pct,mean_delta_per,std_delta_per
29,Guard,414,-0.4094261811248667,2.275868408645615,-0.06767014515213485,1.0575824151497182,-0.017652510628304814,0.6522314760021428,-0.03029501348398974,0.35760082998484743,-0.005381645385324906,0.15309544655630206,-0.18419452887537993,0.9791388257504279,-0.27811550151975684,1.7275585758405385,-0.004411910669975187,0.03904461100879123,-0.004507246376811597,0.03690283945651986,-0.49503722084367247,2.3656802343613514
30,Guard,355,-0.587751405222448,2.4346129499726965,-0.06938388265863686,1.048902426471948,-0.11465752926933934,0.7173645733568438,-0.05974826895257799,0.3651665509637959,-0.008216176201186547,0.1565521123195874,-0.3283276450511945,0.9427714909042917,-0.6334470989761093,1.816356637056602,-0.011433048433048433,0.03956391489505762,-0.004997183098591548,0.04039008231119118,-0.9002849002849003,2.3793936631659345
31,Guard,276,-0.9401872809140076,2.4491441469702573,-0.021631337327865152,1.0596798707472308,-0.05166338674613417,0.7162532507151704,-0.0557576183640993,0.37074865824054787,-0.01040172549554934,0.17747781357471978,-0.26666666666666666,0.906186924991176,-0.4899122807017544,1.831235107435183,-0.011602941176470588,0.04250526850987014,-0.008500000000000004,0.04235902823162109,-0.986029411764706,2.5070284314956077
32,Guard,208,-0.8589573737636471,2.270446203666015,-0.05941931117376694,1.0645399736153356,-0.008288903243474015,0.6476604095116366,-0.03728288703005279,0.3264464259351572,-0.010264269899733383,0.17149756952420903,-0.34252873563218394,0.8082854449024593,-0.6327586206896552,1.8033419135056388,-0.009199029126213593,0.041362221469675255,-0.006951923076923076,0.04211173997387076,-0.8839805825242718,2.2594809849990645
33,Guard,151,-0.6960801023544114,1.9633800478425745,-0.21322074287623793,1.0345997427530775,-0.08323615159928151,0.6818435416355302,0.0056281325792604635,0.35351098502316225,0.014974580490216658,0.17775170394924378,-0.2671875,0.7622087025869047,-0.4375000000000001,1.928975085865487,-0.009166666666666667,0.038861726425374186,-0.0028145695364238405,0.035017977092442094,-0.7506666666666665,2.2378605154926197
34,Guard,95,-0.9889400745794121,2.2526305604095724,-0.15179354350425678,1.1175639150850436,0.07982615317405861,0.6549665994750314,-0.03412383102971051,0.3646023471657139,-0.020578299689543125,0.15785194372265857,-0.3987951807228916,0.8079625045489297,-0.6855421686746987,1.4030569873620544,-0.01074736842105263,0.035201840021133274,-0.008536842105263162,0.038078812594998505,-1.1231578947368421,1.903270009778744
35,Guard,53,-0.5185158278860122,2.536169561923613,0.10672195190533715,0.88432290961355,-0.08568811855018796,0.7962044619001861,-0.06414772675388321,0.35313714183800354,0.013883432324151667,0.1617424799710768,-0.22708333333333333,0.8549579019954124,-0.4583333333333334,1.7872876553931007,-0.0080188679245283,0.03873007704516644,0.004301886792452824,0.05023773669940999,-0.5433962264150942,2.4690008438452518
36,Guard,36,-0.8462176033100353,1.9824504178054698,-0.4183168316828971,1.0332593587378984,-0.05922130789974844,0.7153096342575767,0.01810946694193379,0.43433189560397417,-0.0017941026269956313,0.1871222301523064,-0.46571428571428575,0.939631610273521,-0.8485714285714286,1.6380353060497648,-0.019194444444444445,0.03208098630871069,-0.01775,0.045681740647346494,-1.1944444444444444,2.08901131015805
37,Guard,22,-1.5797151707056871,2.577055016397932,-0.14859361325748754,1.6229124610668733,-0.0954123462607061,0.6226365817865239,0.10163587692475123,0.4086836482858885,0.014957330393202725,0.2008117508197253,-0.5047619047619049,0.786432572110407,-0.895238095238095,1.9197594095292747,-0.019636363636363632,0.038064538495942525,-0.02468181818181817,0.05049317385608281,-1.5363636363636362,2.6661092491003675
19,Wing,60,0.6400994091961567,2.9478201731530445,0.2737017626527651,0.7499056076907348,0.1795389813497552,1.2061815192032985,0.04037763380763091,0.3686259355470863,-0.012513512531551679,0.28379093939508965,0.41,1.0571307505360032,0.8099999999999998,1.9577486204865397,0.014216666666666666,0.04712590121124212,0.00848333333333334,0.041014876039032165,0.8783333333333334,2.850696713333852
20,Wing,147,1.2220206247845415,2.642002491773809,0.1302373072883852,0.7159595440086303,0.020875522822937916,1.1139588332803363,0.016348973344473907,0.3810188275906243,-0.012370480819988115,0.41496682715656014,0.39727891156462586,0.8515855942976287,0.9537414965986396,2.046154833816632,0.016612244897959184,0.045160664327046414,0.016503401360544213,0.05193388501748197,1.3095238095238098,2.778398408597114
21,Wing,262,0.9512670688476197,2.483719532346706,0.2657461328803978,0.7507740685477307,-0.07406441364303848,1.3272112858410894,0.042200193096417496,0.40779567916477616,-0.05652806690811679,0.3550571182586127,0.3843373493975903,0.9106646714356555,0.8393574297188755,2.037782532547243,0.013362934362934363,0.04708765881907452,0.01756488549618321,0.04741761950627647,1.0687258687258687,2.8327518871263924
22,Wing,570,0.5558164335201246,2.541858859887538,0.19503908830489788,0.711064460243704,-0.13591477801923532,1.1622524450658065,0.00507570641852308,0.36916393674037395,0.013655402516547177,0.37915850855226857,0.3645833333333333,0.8698833899086533,0.7575000000000001,2.014443151557261,0.013987588652482268,0.0492755855067675,0.012135087719298245,0.04613269998018256,0.8274822695035462,2.767986239821538
23,Wing,735,0.3225862399005754,2.450137529385006,0.10899787801685895,0.7573845096531652,-0.11169796759878262,1.1966117454961058,-0.010841777255333212,0.37777844251062653,-0.03419549656101369,0.3866143090406035,0.1925925925925926,0.8511149480059877,0.24927536231884057,1.918522690187159,0.00328415300546448,0.04608751112283849,0.0019197278911564648,0.04693688532791166,0.23442622950819667,2.6172302009534865
24,Wing,711,-0.08751813340411611,2.274044628867504,-0.01577836878587139,0.6994070898262692,-0.12155076064404288,1.2262968120898743,0.010162952061711437,0.355269634297682,-0.03825661089892159,0.3399026252525748,-0.012458471760797327,0.9012069568849101,-0.027740863787375395,1.8614786348790218,-0.001107801418439716,0.04313265424648561,0.0016610407876230665,0.04300958476259038,-0.13390070921985808,2.5518263772140766
25,Wing,659,-0.0339176527633649,2.390053594653834,0.10055334812408309,0.6537467532239418,-0.06481358966701832,1.1789655547718176,-0.01673016826455581,0.32440804952912705,-0.04372812453073496,0.31082917474128063,-0.0019469026548672623,0.9277898874151721,-0.024070796460177013,1.8149754492840384,-0.0017714723926380372,0.0427426649394216,0.000528072837632775,0.044601447334532904,-0.07791411042944787,2.527830336620243
26,Wing,619,-0.1947158782946547,2.37121293612646,0.013789288887655508,0.6563070541388312,-0.1868068349933711,1.151959751576921,-0.025154628239129073,0.320194228059176,-0.024871669249189928,0.31223458077867966,-0.03638059701492536,0.909842934332916,-0.04832089552238806,1.780758259583984,-0.0009983686786296901,0.04316556888544067,-4.361873990306735e-05,0.04166195097510217,-0.28107667210440457,2.56384505250651
