player_id,age,size_bucket,season,delta_pts_per75,delta_ast_per75,delta_trb_per75,delta_stl_per75,delta_blk_per75,delta_vorp,delta_bpm,delta_ws_per_48,delta_ts_pct,delta_per
lovelcl01,24,Wing,1954,0.5668921491772778,-0.15545931675413183,-1.391917003528519,,,,,-0.027000000000000024,0.013999999999999957,0.6000000000000014
lovelcl01,25,Wing,1955,0.6260278951105072,0.6904064665010881,1.1102792539967332,,,,,-0.017999999999999988,0.0050000000000000044,2.0
lovelcl01,26,Wing,1956,-1.375123064747676,-0.3491294054422507,-0.935082289803832,,,,,0.0020000000000000018,-0.013000000000000012,-1.3999999999999986
lovelcl01,27,Wing,1957,0.6148019942762346,-0.2292766370375232,-2.145001170638775,,,,,0.03,0.01200000000000001,0.09999999999999787
lovelcl01,28,Wing,1958,-0.16199327170161126,0.16047087984347153,1.4482123044155895,,,,,0.007000000000000006,0.02400000000000002,0.10000000000000142
lovelcl01,29,Wing,1959,1.574959071954627,0.1642928277684561,-0.8723393013763818,,,,,0.026999999999999996,0.020000000000000018,1.0999999999999979
lovelcl01,30,Wing,1960,-0.9981870610772141,0.43737088926871004,-1.5038143860837856,,,,,-0.027999999999999997,-0.025000000000000022,-2.8999999999999986
lovelcl01,31,Wing,1961,0.3059814662647433,-0.7007484345872894,-0.6203622165619826,,,,,-0.048000000000000015,0.017000000000000015,-0.8000000000000007
lovelcl01,32,Wing,1962,1.0395471729497814,-0.33208932058871743,0.9658684375712703,,,,,-0.005999999999999978,-0.04800000000000004,-3.5
lovelcl01,33,Wing,1963,0.24069073680931652,0.2933601691044918,-0.4936930962306185,,,,,0.005999999999999978,-0.014999999999999958,0.6000000000000014
lovest01,22,Wing,1972,0.8981538136517262,0.15714822185324362,1.6387179356685415,,,,,0.022000000000000006,-0.013000000000000012,1.1999999999999993
lovest01,23,Wing,1973,-1.432820897660024,0.7797745805976333,-1.8543902538426504,,,,,-0.05000000000000001,-0.009000000000000008,-2.0999999999999996
lovest01,24,Wing,1974,3.5777682229147096,-0.0402997933374003,-0.38704856468940285,-0.02238877407633355,-0.017911019261066752,0.1,0.6999999999999997,0.0030000000000000027,0.017000000000000015,2.799999999999999
lowryky01,21,Guard,2008,-0.9770393624565727,0.9848629811370682,-0.08011601042463123,-0.059403709201438115,-0.09809511717968195,0.30000000000000004,1.1,0.024999999999999994,0.016000000000000014,0.09999999999999964
lowryky01,22,Guard,2009,0.8443651292473664,0.7026426754247304,1.2467488629826473,-0.18377212300904167,-0.20058615705322005,0.29999999999999993,0.6000000000000001,0.023000000000000007,-0.01100000000000001,1.0999999999999996
lowryky01,23,Guard,2010,0.895636714601407,0.4705341766162867,-1.0639576463995342,0.16269659664195069,0.18320089909781215,1.4000000000000001,1.2,0.0040000000000000036,0.014000000000000012,1.0
lowryky01,24,Guard,2011,2.13785957905551,0.45029731335378553,0.8422288815158714,0.3655085576606816,0.02566425373719433,-0.30000000000000027,2.0999999999999996,0.025999999999999995,0.008000000000000007,2.3000000000000007
lowryky01,25,Guard,2012,-2.287288418581044,0.3226602353077883,0.6631624613114839,-0.12140404244864156,0.1583961623307349,0.20000000000000018,-1.1999999999999997,-0.022999999999999993,-0.015000000000000013,-1.3000000000000007
lowryky01,26,Guard,2013,3.6644819640407054,-0.5989997571612884,-1.217250976341819,-0.25673204848629516,-0.3153025252175843,2.3,1.8000000000000003,0.064,0.02399999999999991,2.6000000000000014
lowryky01,27,Guard,2014,0.8320961420843958,-0.27680230932678285,0.2476608206061588,0.19016341531123682,0.010538758323666325,-1.6999999999999997,-1.7000000000000002,-0.05600000000000002,-0.039999999999999925,-0.8000000000000007
lowryky01,28,Guard,2015,1.7572995305926078,-1.0545658451061355,-0.44802377934133464,0.35543280184065384,0.18411577241928,2.6,2.8,0.05500000000000002,0.050999999999999934,2.8999999999999986
lowryky01,29,Guard,2016,0.8295533772669437,0.4878136212509716,0.018119526912403927,-0.6356264610721025,-0.10680723080508253,-1.1000000000000005,0.2999999999999998,0.01999999999999999,0.04500000000000004,0.6999999999999993
lowryky01,30,Guard,2017,-3.7572444090088837,0.936655680160781,1.6400337423916431,-0.23416508145332537,-0.0698076509353025,-0.09999999999999964,-0.8999999999999995,-0.021999999999999992,-0.025000000000000022,-3.3999999999999986
lowryky01,31,Guard,2018,-3.579493156443494,1.2822482222269471,-1.3523475351871017,0.21822222609409114,0.29947762910689296,-2.1,-2.9000000000000004,-0.05000000000000002,-0.03599999999999992,-3.0
lowryky01,32,Guard,2019,4.203295721065533,-1.7729598189135753,-0.1235252615025173,-0.0938601584826706,-0.1326619832485592,0.3999999999999999,0.9000000000000004,0.027000000000000024,0.027999999999999914,1.1999999999999993
lowryky01,33,Guard,2020,-1.293160129785143,0.17857336684778868,0.6753309731541277,-0.34493810696222216,-0.08365333247343126,-1.2999999999999998,-1.6,-0.047000000000000014,0.0030000000000000027,-1.1999999999999993
lowryky01,34,Guard,2021,-3.4529784883615715,0.4943508494342401,-0.7672789337657937,0.14621216445505603,0.01142980304853558,0.6000000000000001,0.3999999999999999,0.01899999999999999,0.007000000000000006,-1.5
lowryky01,35,Guard,2022,-1.4530412056844106,-2.1733015992247005,-0.09367382783258371,-0.025484173153311307,0.14116428008258763,-1.2000000000000002,-1.8,-0.046999999999999986,-0.03500000000000003,-2.4000000000000004
lowryky01,36,Guard,2023,-2.537557876677109,-0.49252052951944236,-0.6246302062208606,0.13210967670141804,0.05284387068056717,-0.5,-1.2,0.0040000000000000036,0.029000000000000026,-1.6999999999999993
lowryky01,37,Guard,2024,-2.941181862831904,-0.2120214762554946,-0.46596767310975284,0.44767278822446865,0.06283316046766174,-0.30000000000000004,-0.30000000000000004,-0.03,-0.06899999999999995,-1.0999999999999996
lucasje01,23,Wing,1964,1.9549879404937514,-0.23841931284153306,1.1885788698241235,,,,,-0.02099999999999999,-0.026999999999999913,2.0
lucasje01,24,Wing,1965,-0.8054513668338643,0.10204701779881509,-0.0822368655623471,,,,,-0.05600000000000001,-0.052000000000000046,-2.099999999999998
lucasje01,25,Wing,1966,-2.31855551976429,0.4268115568433002,-1.175396740430255,,,,,-0.011999999999999997,0.009000000000000008,-1.9000000000000021
lucasje01,26,Wing,1967,2.6463110924083164,-0.11308843930089729,0.06609817914742955,,,,,0.035,0.05699999999999994,2.900000000000002
lucasje01,27,Wing,1968,-1.1031857917028667,0.9227743698582604,0.6743614481632374,,,,,0.014999999999999986,0.025000000000000022,0.8000000000000007
lucasje01,28,Wing,1969,-0.684178689482513,-0.8203340290435976,-1.5248695491299653,,,,,0.009000000000000008,-0.03599999999999992,-2.700000000000003
lucasje01,29,Wing,1970,1.923979375361391,0.6347509670981717,0.07213205080299545,,,,,-0.0010000000000000009,-0.010000000000000009,2.700000000000003
lucasje01,30,Wing,1971,-0.6616431538149339,0.6183176430323041,-1.088094480433563,,,,,0.027999999999999997,0.0040000000000000036,-1.1000000000000014
